,Episode,Mean,Stddev
249,249,23.41407,25.67282
250,250,26.74772,19.50456
251,251,14.85823,43.28353
252,252,36.5,0
253,253,36.5,0
254,254,17.07327,38.85347
255,255,36.5,0
256,256,15.75249,41.49502
257,257,23.56829,25.86341
258,258,36.5,0
259,259,36.4,0.2
260,260,36.3,0.24495
261,261,-2.41953,47.76596
262,262,-11.62654,62.41618
263,263,36.4,0.2
264,264,36.5,0
265,265,36.5,0
266,266,16.60999,39.78003
267,267,25.52027,21.95946
268,268,-8.40907,60.2625
269,269,36.5,0
270,270,-9.22616,59.20827
271,271,26.96394,18.82311
272,272,36.5,0
273,273,27.00881,18.98237
274,274,36.4,0.2
275,275,36.3,0.24495
276,276,6.16674,60.66652
277,277,15.85008,41.29985
278,278,36.3,0.24495
279,279,36.5,0
280,280,23.69596,25.60808
281,281,36.5,0
282,282,36.5,0
283,283,36.4,0.2
284,284,17.54774,37.65502
285,285,36.2,0.24495
286,286,36.5,0
287,287,20.93369,30.88323
288,288,36.5,0
289,289,8.18114,56.63772
290,290,36.5,0
291,291,36.3,0.24495
292,292,36.4,0.2
293,293,16.04568,40.90864
294,294,20.03698,32.42682
295,295,36.4,0.2
296,296,8.24293,56.51413
297,297,-10.27963,38.9439
298,298,36.4,0.2
299,299,36.4,0.2
300,300,36.5,0
301,301,8.73902,34.0228
302,302,36.5,0
303,303,36.5,0
304,304,36.5,0
305,305,-5.81072,51.72113
306,306,36.5,0
307,307,19.63406,33.73189
308,308,-12.08385,39.89838
309,309,36.3,0.24495
310,310,36.4,0.2
311,311,36.4,0.2
312,312,36.5,0
313,313,36.5,0
314,314,36.5,0
315,315,36.4,0.2
316,316,16.70717,38.58567
317,317,21.80289,29.14486
318,318,-5.9854,51.69819
319,319,36.3,0.24495
320,320,36.3,0.24495
321,321,36.5,0
322,322,-1.5459,46.78785
323,323,18.91182,35.17635
324,324,17.76389,37.47222
325,325,36.5,0
326,326,26.13456,20.73088
327,327,25.38702,22.22597
328,328,36.5,0
329,329,36.5,0
330,330,18.85057,35.29886
331,331,25.689,21.62201
332,332,36.5,0
333,333,-3.39763,38.15301
334,334,36.5,0
335,335,23.75073,25.49855
336,336,11.97155,49.0569
337,337,36.5,0
338,338,36.5,0
339,339,23.20329,26.59341
340,340,36.5,0
341,341,36.5,0
342,342,36.5,0
343,343,36.5,0
344,344,36.4,0.2
345,345,36.4,0.2
346,346,36.5,0
347,347,36.5,0
348,348,18.89349,35.21302
349,349,36.5,0
350,350,36.5,0
351,351,36.5,0
352,352,36.5,0
353,353,26.36003,20.27995
354,354,23.78689,25.42621
355,355,36.5,0
356,356,3.17605,66.64791
357,357,16.69646,39.60709
358,358,36.5,0
359,359,36.5,0
360,360,15.99623,41.00755
361,361,36.5,0
362,362,7.45126,37.88756
363,363,36.5,0
364,364,36.5,0
365,365,36.5,0
366,366,17.69998,37.60005
367,367,36.5,0
368,368,36.5,0
369,369,36.5,0
370,370,36.5,0
371,371,23.52576,25.94847
372,372,36.5,0
373,373,36.5,0
374,374,36.5,0
375,375,36.5,0
376,376,36.5,0
377,377,36.5,0
378,378,36.5,0
379,379,36.5,0
380,380,36.5,0
381,381,36.5,0
382,382,36.5,0
383,383,36.5,0
384,384,17.36308,38.27385
385,385,-4.02862,49.66156
386,386,36.5,0
387,387,36.5,0
388,388,36.5,0
389,389,36.5,0
390,390,20.16392,32.67215
391,391,36.5,0
392,392,36.5,0
393,393,26.25138,20.49724
394,394,15.26731,42.46537
395,395,23.62326,25.75348
396,396,20.85057,31.29887
397,397,36.5,0
398,398,36.5,0
399,399,36.5,0
400,400,16.23149,40.53702
401,401,22.71577,27.56847
402,402,36.5,0
403,403,36.5,0
404,404,13.40609,28.61264
405,405,36.5,0
406,406,36.5,0
407,407,36.5,0
408,408,36.5,0
409,409,36.5,0
410,410,36.5,0
411,411,36.5,0
412,412,36.5,0
413,413,36.5,0
414,414,19.81269,33.37463
415,415,36.5,0
416,416,36.5,0
417,417,12.08127,29.9106
418,418,36.5,0
419,419,36.5,0
420,420,36.5,0
421,421,36.5,0
422,422,24.97752,23.04496
423,423,36.5,0
424,424,36.5,0
425,425,25.13938,22.72124
426,426,36.5,0
427,427,36.5,0
428,428,36.5,0
429,429,19.88006,33.23988
430,430,36.5,0
431,431,0.47263,29.63755
432,432,36.5,0
433,433,24.13266,24.73468
434,434,36.5,0
435,435,36.5,0
436,436,36.5,0
437,437,16.41785,40.16431
438,438,23.09904,26.80191
439,439,24.26506,24.46988
440,440,36.5,0
441,441,36.5,0
442,442,24.8937,23.21259
443,443,26.49802,20.00397
444,444,36.5,0
445,445,36.5,0
446,446,17.92115,37.1577
447,447,18.6195,35.761
448,448,23.59921,25.80159
449,449,36.5,0
450,450,36.5,0
451,451,36.5,0
452,452,24.40732,24.18537
453,453,24.47945,24.0411
454,454,22.72755,27.54489
455,455,24.24818,24.50363
456,456,36.5,0
457,457,-12.24079,25.26506
458,458,36.5,0
459,459,18.54364,22.33256
460,460,36.5,0
461,461,15.67132,41.65736
462,462,36.5,0
463,463,36.5,0
464,464,36.5,0
465,465,36.5,0
466,466,36.5,0
467,467,17.47501,38.04997
468,468,36.5,0
469,469,23.17834,26.64332
470,470,36.5,0
471,471,36.5,0
472,472,36.5,0
473,473,36.5,0
474,474,14.44096,27.05612
475,475,36.5,0
476,476,11.44814,30.70673
477,477,36.5,0
478,478,36.5,0
479,479,14.3594,27.12234
480,480,36.5,0
481,481,16.45855,26.27253
482,482,36.5,0
483,483,36.5,0
484,484,36.5,0
485,485,36.5,0
486,486,36.5,0
487,487,23.73022,25.53956
488,488,36.5,0
489,489,24.00047,24.99906
490,490,36.5,0
491,491,36.5,0
492,492,24.54525,23.90949
493,493,36.5,0
494,494,36.5,0
495,495,36.5,0
496,496,36.5,0
497,497,2.9968,29.25668
498,498,11.2659,21.20851
499,499,-16.93424,27.19082
500,500,-0.55855,30.44441
501,501,36.5,0
502,502,12.57954,29.31633
503,503,36.5,0
504,504,36.5,0
505,505,36.5,0
506,506,14.30913,44.38174
507,507,36.5,0
508,508,36.5,0
509,509,23.63157,25.73686
510,510,36.5,0
511,511,36.5,0
512,512,36.5,0
513,513,36.5,0
514,514,36.5,0
515,515,36.5,0
516,516,36.5,0
517,517,36.5,0
518,518,36.5,0
519,519,36.5,0
520,520,36.5,0
521,521,36.5,0
522,522,15.36143,42.27714
523,523,36.5,0
524,524,36.5,0
525,525,12.13846,29.87549
526,526,25.77526,21.44947
527,527,26.65966,19.68068
528,528,36.5,0
529,529,36.5,0
530,530,36.5,0
531,531,36.5,0
532,532,36.5,0
533,533,36.5,0
534,534,36.5,0
535,535,-8.48757,23.0421
536,536,36.5,0
537,537,36.5,0
538,538,16.56455,39.8709
539,539,36.5,0
540,540,36.5,0
541,541,36.5,0
542,542,36.5,0
543,543,36.5,0
544,544,36.5,0
545,545,36.5,0
546,546,36.5,0
547,547,36,0
548,548,36.4,0.2
549,549,36.1,0.2
550,550,36.2,0.24495
551,551,36.4,0.2
552,552,36.2,0.24495
553,553,36.5,0
554,554,36.5,0
555,555,36.3,0.24495
556,556,36.1,0.2
557,557,36.3,0.24495
558,558,36.4,0.2
559,559,36.4,0.2
560,560,17.01634,38.96732
561,561,36.5,0
562,562,36.5,0
563,563,36.5,0
564,564,36.5,0
565,565,36.5,0
566,566,36.5,0
567,567,36.5,0
568,568,36.5,0
569,569,36.4,0.2
570,570,36.3,0.24495
571,571,36.5,0
572,572,36.4,0.2
573,573,36.5,0
574,574,36.4,0.2
575,575,36.4,0.2
576,576,36.5,0
577,577,36.5,0
578,578,17.44814,38.10372
579,579,36.5,0
580,580,36.5,0
581,581,36.5,0
582,582,36.5,0
583,583,36.5,0
584,584,36.5,0
585,585,36.5,0
586,586,36.5,0
587,587,36.1,0.2
588,588,36.2,0.4
589,589,13.46184,46.07633
590,590,36.5,0
591,591,36.1,0.2
592,592,36.2,0.4
593,593,36.5,0
594,594,36.5,0
595,595,36.5,0
596,596,36.4,0.2
597,597,36.5,0
598,598,36.5,0
599,599,36.5,0
600,600,36.5,0
601,601,18.24987,36.50027
602,602,23.7008,25.59839
603,603,36.5,0
604,604,36.5,0
605,605,36.5,0
606,606,36.5,0
607,607,36.2,0.24495
608,608,36.4,0.2
609,609,23.81371,24.87358
610,610,36.4,0.2
611,611,36.5,0
612,612,14.99057,26.10455
